vehicle,family,country,status,reusable,first_flight_date,num_flights,capex_program_usd,capex_program_year,capex_program_basis,capex_program_source,capex_first_launch_usd,capex_first_launch_year,capex_first_launch_basis,capex_first_launch_source,opex_marginal_usd,opex_marginal_year,opex_marginal_source,opex_price_usd,opex_price_year,opex_price_source,opex_fully_loaded_usd,opex_fully_loaded_year,opex_fully_loaded_source,payload_leo_kg,payload_leo_note,opex_per_kg_usd,opex_per_kg_basis,opex_per_kg_source,notes
Maia (MaiaSpace),Maia,France,"in development (predicted, pre-first-flight)",partial,,0,137000000.0,2025,"ALL FIGURES ARE PRE-FLIGHT / PREDICTED. ArianeGroup's (parent company) cumulative equity investment, increased in stages from ~EUR40M to EUR125M (~$137M) by 2025, plus further warrants that could add another EUR40M if exercised. MaiaSpace also reported EUR180M in customer advances/down-payments in 2024 filings, which are prepayments on future launch contracts, not a development-cost figure -- not included here.",https://europeanspaceflight.com/arianegroup-to-increase-maiaspace-investment-to-e125m/,137000000.0,2025,"Same investment figure; Maia has not yet flown (originally targeted 2025, since delayed) so total-to-date and to-first-launch aren't yet distinguishable.",https://europeanspaceflight.com/arianegroup-to-increase-maiaspace-investment-to-e125m/,,,,,,,,,,500.0,"With first-stage recovery; 1,500 kg fully expendable.",,no price/cost figure found -- not computed,,"PRE-FLIGHT / PREDICTED. No commercial or target launch price was found in this research. Subsidiary of ArianeGroup (the Ariane 6 prime contractor), positioned as Europe's push into reusability; also proposed as a future booster-recovery upgrade path for Ariane 6 itself."
Agnibaan (Agnikul Cosmos),Agnibaan,India,suborbital technology demonstrator flown; orbital version pre-first-flight,false,2024-05-30,1,57000000.0,2025,"ALL FIGURES ARE PRE-FLIGHT / PREDICTED FOR THE ORBITAL VEHICLE. Cumulative funding raised (~$40M through Oct 2023 Series B, plus a further ~$17M round at a $500M valuation) -- used as a capex proxy since no standalone dev-cost figure is disclosed. The one flight to date (May 30, 2024, 'Agnibaan SOrTeD') was a SUBORBITAL single-stage technology demonstrator, not the full multi-stage orbital Agnibaan configuration this dataset's other capacity/price figures describe.",https://inc42.com/buzz/update-agnikul-raises-17-mn-at-500-mn-valuation/,57000000.0,2025,"Same funding figure; the orbital-class Agnibaan has not yet flown, so total-to-date and to-first-orbital-launch aren't yet distinguishable.",https://inc42.com/buzz/update-agnikul-raises-17-mn-at-500-mn-valuation/,,,,,,,,,,100.0,"Standard configuration, 700 km orbit; fully expendable maximum configuration rated at 500 kg to 700 km SSO.",,no price/cost figure found -- not computed,,"PRE-FLIGHT / PREDICTED for the orbital vehicle and its capex. No commercial or target launch price was found in this research. Uses a 3D-printed, single-piece semi-cryogenic engine (Agnilet); the May 2024 SOrTeD flight was a single-stage suborbital demonstrator only, used here as a company/technology milestone rather than a true orbital first flight -- num_flights=1 reflects that demonstrator flight, not an orbital launch."
Vikram-1 (Skyroot Aerospace),Vikram,India,"in development (predicted, pre-first-orbital-flight); suborbital predecessor flown",false,2022-11-18,1,160000000.0,2026,"ALL FIGURES ARE PRE-FLIGHT / PREDICTED FOR THE ORBITAL VEHICLE. Total funding raised to date (~$160M), including a $60M round in May 2026 that valued the company above $1B (India's first space-tech unicorn). Used as a capex proxy since no standalone Vikram-1 dev-cost figure is disclosed. The one flight to date (Nov 18, 2022, 'Vikram-S') was a SUBORBITAL technology demonstrator, not the orbital-class Vikram-1 this dataset's other capacity figures describe.",https://spacenews.com/skyroot-raises-60-million-ahead-of-first-orbital-launch-attempt/,160000000.0,2026,"Same funding figure; the orbital Vikram-1 has not yet flown, so total-to-date and to-first-orbital-launch aren't yet distinguishable.",https://spacenews.com/skyroot-raises-60-million-ahead-of-first-orbital-launch-attempt/,,,,,,,,,,350.0,Three solid-fuel stages plus a liquid-fuel kick stage.,,no price/cost figure found -- not computed,,"PRE-FLIGHT / PREDICTED for the orbital vehicle and its capex. No commercial or target launch price was found in this research. The Nov 2022 Vikram-S flight was a single-stage SUBORBITAL demonstrator (India's first privately-developed rocket to fly), used here as a milestone rather than a true orbital first flight -- num_flights=1 reflects that demonstrator, not an orbital launch. Orbital Vikram-1 debut was pending as of this research (mid-2026)."
Kairos (Space One),Kairos,Japan,active development; all 3 flight attempts to date have failed,false,2024-03-13,3,130000000.0,2024,"Cumulative fundraising of JPY20 billion (~$130M) reported by Space One in an Oct 2024 press release, plus a separate JPY8.5 billion (~$55M) Japan Ministry of Defense contract specifically for upper-stage enhancements (a government contract, distinct from the equity/investor total).",https://www.space-one.co.jp/news/news_20241009_02_e.html,130000000.0,2024,"Same cumulative fundraising figure, reported ~5 months before the first launch attempt (March 2024).",https://www.space-one.co.jp/news/news_20241009_02_e.html,,,,9000000.0,2024.0,https://www.nasaspaceflight.com/2024/03/space-one-kairos/,,,,250.0,150 kg to SSO.,36000.0,derived: reported price / rated LEO capacity,https://www.nasaspaceflight.com/2024/03/space-one-kairos/,"Space One does not officially disclose Kairos pricing; the $9M figure is a reported/estimated price, with a company executive separately describing it only as 'competitive' against Rocket Lab's ~$7M Electron price. All 3 launch attempts to date have failed: Flight 1 (March 13, 2024) exploded seconds after liftoff; Flight 2 (Dec 2024) also failed; Flight 3 (2025) failed as well -- Kairos has not yet reached orbit as of this research."
Zhuque-2 (LandSpace),Zhuque,China,active,false,2022-12-14,10,175000000.0,2020,"Series C+ funding round raised for development of the Zhuque-2 series specifically, jointly led by Sequoia Capital China, Country Garden Venture Capital, Matrix Partners China, and Cornerstone Capital.",https://spacenews.com/chinas-landspace-raises-175-million-for-zhuque-2-launch-vehicles/,175000000.0,2020,"Same funding round, raised ~2 years before the first (failed) launch attempt (Dec 2022); the second attempt (July 2023) became the first successful liquid-methane orbital launch worldwide.",https://spacenews.com/chinas-landspace-raises-175-million-for-zhuque-2-launch-vehicles/,,,,,,,,,,6000.0,"200 km LEO; 4,000 kg to SSO.",,no commercial price figure found -- not computed,,"No publicly disclosed commercial launch price was found in this research -- a genuine gap typical of Chinese commercial space pricing transparency. World's first liquid-methane-fueled rocket to reach orbit (2nd attempt, July 2023, after a Dec 2022 failure). num_flights (10) is an approximate tally through mid-2026, not independently reconfirmed flight-by-flight in this research."
Zhuque-3 (LandSpace),Zhuque,China,"active development; 1 flight, first-stage recovery attempt failed",partial,2025-12-03,1,123000000.0,2025,"RMB900M (~$123M) from China's state-backed National Manufacturing Transformation and Upgrading Fund, earmarked for development/testing/production of the Zhuque reusable methalox launch vehicles. This is IN ADDITION TO the earlier $175M Zhuque-2 Series C+ round (see Zhuque-2 row) which predates Zhuque-3-specific work -- the two figures should not be summed as a single Zhuque-3 total since the earlier round's Zhuque-3-specific share isn't disclosed.",https://spacenews.com/chinas-landspace-secures-state-backed-funding-for-reusable-rockets/,123000000.0,2025,"Same state-backed funding figure, reported shortly before the Dec 2025 maiden flight.",https://spacenews.com/chinas-landspace-secures-state-backed-funding-for-reusable-rockets/,,,,21000000.0,2026.0,https://pandaily.com/landspace-ipo-zhuque-3-rocket-reusable-analysis-jul2026,,,,18300.0,"With first-stage downrange recovery (the config the $21M price is understood to apply to); 21,000 kg fully expendable, 12,500 kg with return-to-launch-site recovery.",1148.0,derived: reported per-launch cost / downrange-recovery LEO capacity,https://pandaily.com/landspace-ipo-zhuque-3-rocket-reusable-analysis-jul2026,"Comparable in scale/goal to Falcon 9 (stainless-steel, partially reusable, kerolox... methalox actually -- two-stage medium-to-heavy). Maiden flight Dec 3, 2025 reached orbit but the first-stage recovery attempt was unsuccessful. Reported via LandSpace's IPO filing on China's STAR Market (Science and Technology Innovation Board), alongside disclosure that the company loses ~$240M/year -- both figures from the same July 2026 Pandaily analysis of the IPO filing, a useful rare window into a Chinese commercial launch company's real financials."
Ceres-1 (Galactic Energy),Ceres-1,China,active,false,2020-11-07,20,,,No total company funding or development-cost figure was found in this research -- a genuine gap typical of Chinese commercial space financial transparency.,,,,Same gap as total program cost.,,,,,4380000.0,2026.0,https://nextspaceflight.com/rockets/225/,,,,400.0,300 kg to 500 km SSO.,10950.0,derived: current flat price / rated LEO capacity,https://nextspaceflight.com/rockets/225/,"Solid-fuel small launcher; one of the most active and reliable Chinese commercial launchers, with a real multi-year flight record (first flight Nov 2020) rather than a pre-flight prediction. num_flights (20) is an approximate tally through mid-2026, not independently reconfirmed flight-by-flight in this research. Company has separately stated a longer-term target of under $10,000/kg."
Hyperbola-1 (i-Space / Beijing Interstellar Glory),Hyperbola,China,"active, mixed reliability record",false,2019-07-25,10,,,"No development-cost figure specific to Hyperbola-1 was found; the company (i-Space) separately raised a $99M Series C at an unspecified date for its broader launch-vehicle program (not isolated to Hyperbola-1) -- not used here as a vehicle-specific figure, a genuine gap.",,,,Same gap as total program cost.,,,,,5000000.0,2020.0,https://en.wikipedia.org/wiki/Hyperbola-1,,,,300.0,Solid-fuel four-stage small launcher.,16667.0,derived: reported price / rated LEO capacity,https://en.wikipedia.org/wiki/Hyperbola-1,"China's first privately-developed rocket to reach orbit (July 25, 2019). Mixed reliability record with several failures since the debut success. num_flights (10) is an approximate tally through mid-2026, not independently reconfirmed flight-by-flight in this research. i-Space is separately developing the larger, partially-reusable Hyperbola-3 (methalox, Falcon-9-class) -- not included in this dataset as a distinct row given limited public cost data specific to it as of this research."
Tianlong-3 (Space Pioneer),Tianlong,China,"in development (predicted, pre-first-orbital-flight)",partial,,0,765000000.0,2025,"ALL FIGURES ARE PRE-FLIGHT / PREDICTED. Sum of two disclosed funding rounds specifically tied to Tianlong-3 development: ~$414M cumulative through a July 2023 C-round, plus a further RMB2.5B (~$351M) pre-D/D round in Oct 2025 -- reported as two separate raises rather than a single verified cumulative total, so treat as approximate (rounds may have some overlap in reporting).",https://spacenews.com/space-pioneer-raises-350-million-as-chinas-commercial-launch-boom-accelerates/,765000000.0,2025,"Same combined funding figure; Tianlong-3 had not achieved a successful orbital flight as of this research, so total-to-date and to-first-launch aren't yet distinguishable. (A first-stage vehicle was destroyed in an accidental ignition/crash during a June 2024 ground static-fire test, prior to any real flight attempt.)",https://spacenews.com/space-pioneer-raises-350-million-as-chinas-commercial-launch-boom-accelerates/,,,,,,,,,,17000.0,"14,000 kg to 500 km SSO. Explicitly described by the company/press as comparable to Falcon 9.",,no price/cost figure found -- not computed,,"PRE-FLIGHT / PREDICTED. No commercial or target launch price was found in this research. Two-stage kerolox vehicle with a reusable first stage, positioned as China's closest Falcon-9 analog. The company's earlier, smaller Tianlong-2 flew successfully in 2023 (not included as a separate row given limited distinct cost data)."
Ariane 5,Ariane,France,retired,false,1996-06-04,117,7000000000.0,1996,"Widely-cited cumulative program cost, 1987 ESA program approval through 1996 first flight (nominal, era dollars). Not a single official ESA line-item total -- ESA Bulletin 93 corroborates via a different route (ground facilities alone were ~1B ECU = 20% of total development cost, implying ~5B ECU total in period currency). Best-available secondary-source consensus, not a single primary disclosure.",https://www.designnews.com/aerospace/ariane-5-europe-s-heavy-lifter,7000000000.0,1996,Program cost through first flight is essentially the same figure as total original-variant development cost; later ECA/ES upgrades were separately funded increments not included here.,https://www.esa.int/esapub/bulletin/bullet93/b93carr.htm,,,,172000000.0,2015.0,https://en.wikipedia.org/wiki/Ariane_5,,,,21000.0,"21,000 kg is the Ariane 5 ES variant's real operational LEO/ISS-transfer capacity (flew ATV cargo ships). However most flights (ECA variant) flew GTO commercial comsat missions (10,865-11,115 kg GTO, dual-payload combined) and virtually all disclosed commercial pricing corresponds to GTO, not LEO -- $/kg below uses the GTO figure, not the 21,000 kg LEO figure.",15650.0,"REAL commercial price (Jan 2015, EUR150M dual-launch) / GTO capacity (10,865 kg) -- NOT computed against the 21,000 kg LEO figure",https://en.wikipedia.org/wiki/Ariane_5,"REAL, FLIGHT-PROVEN DATA. Real per-launch commercial prices ranged over the vehicle's life: ~EUR90M (2013, heavy sat/upper position), ~EUR50M (2014, midsize sat/lower position), ~EUR150M total dual-launch (Jan 2015, used here), ~EUR150-200M (2016), rising toward ~EUR200M in the vehicle's final years. 117 launches, 112 full successes, 2 failures, 3 partial failures (95.7% success); an 82-mission consecutive-success streak 2003-2017. Retired after final flight 5 July 2023, superseded by Ariane 6."
Ariane 6,Ariane,France,active,false,2024-07-09,8,4300000000.0,2024,"ESA/press-reported cumulative development cost as of the July 2024 first flight (~EUR4 billion, reported as $4.3-4.5B). Figure rose through the program: EUR2.4B initial 2014 contract -> EUR3.0B 2016 ArianeGroup/CNES agreement -> ~EUR3.6-3.7B by 2020 -> ~EUR4B by 2022-2024. Cumulative figure across a decade of ESA Ministerial Council top-ups, not one line-item approval.",https://www.aljazeera.com/news/2024/7/9/europes-ariane-6-ready-to-blast-off-from-spaceport-in-kourou,4300000000.0,2024,"Same cumulative figure, generally reported as the cost to reach the July 2024 maiden flight.",https://en.wikipedia.org/wiki/Ariane_6,,,,96000000.0,2025.0,https://europeanspaceflight.com/esa-spent-e82-million-to-launch-sentinel-1d-satellite-on-ariane-6/,,,,21650.0,"Ariane 64 (4-booster) config: 21,650 kg LEO / 11,500 kg GTO. Ariane 62: 10,350 kg LEO / 4,500 kg GTO. Unlike Ariane 5, Ariane 6 is now flying genuine dedicated LEO missions (Amazon Leo/Kuiper batches of ~32 satellites per A64 flight), though the $96M REAL price used here is from an A62 mission.",9275.0,"REAL disclosed ESA contract (Sentinel-1D, Nov 2025, EUR82.07M) / full A62 rated LEO capacity (10,350 kg) -- actual satellite flown was only ~2.3t so this understates true per-mission $/kg for that specific flight",https://europeanspaceflight.com/esa-spent-e82-million-to-launch-sentinel-1d-satellite-on-ariane-6/,"REAL, FLIGHT-PROVEN DATA. ESA disclosed it paid EUR82,070,773 (~$96M) to launch the Sentinel-1D Earth-observation satellite on an Ariane 62 in Nov 2025 -- a genuine itemized institutional launch-service contract value (ESA, unlike most launch customers, publishes these). SpaceX reportedly charged ESA ~$90M for a comparable Sentinel launch, per the same source -- useful apples-to-apples comparison. The Amazon Kuiper deal (18 Ariane 6 launches) was NEVER officially priced; Quilty Space ESTIMATES $2.5-3B total (~$139-167M/launch) -- explicitly an estimate, not used as the primary figure. ESA member states additionally subsidize ArianeGroup operations directly at up to EUR340M/year (flights 16-42, through ~2031) to bridge the gap between real cost and competitive pricing -- true full economic cost per launch is therefore higher than the disclosed contract price. 8 flights through mid-2026, 7 successes, 1 partial failure (VA262, July 2024, upper-stage deorbit-burn anomaly after successful primary payload delivery)."
Vega,Vega,Italy,retired,false,2012-02-13,22,910000000.0,2012,"EUR710 million total development cost per SpaceNews (13 Feb 2012), converted at ~1.28 USD/EUR (2012 average). A separate EUR400 million ESA VERTA contribution sponsored 5 post-qualification 'proving' flights (2012-2014) and is NOT included in this figure -- that money blurs the capex/opex line (it subsidized early operational flights, not pure R&D).",https://en.wikipedia.org/wiki/Vega_(rocket),910000000.0,2012,Core EUR710M development figure covers the program through the Feb 2012 first flight.,https://en.wikipedia.org/wiki/Vega_(rocket),,,,37000000.0,2012.0,https://en.wikipedia.org/wiki/Vega_(rocket),,,,1450.0,"~1,450 kg to 400 km SSO / ~1,430 kg to 700 km polar orbit -- Vega's actual operational profile was polar/SSO small-sat and Earth-observation missions, not equatorial LEO.",25500.0,reported average commercial price / rated SSO capacity,https://en.wikipedia.org/wiki/Vega_(rocket),"REAL, FLIGHT-PROVEN DATA. $37M is Wikipedia's infobox 'official cost per launch' figure -- a real reported average market price, though not confirmed as a single named contract (more granular 2012 SpaceNews reporting: ~EUR32M including Arianespace marketing/handling markup, ~EUR25M for the rocket alone at 2 flights/year, potentially ~EUR22M at 4 flights/year). 22 launches, 20 successes, 2 failures (VV15 in 2019, VV17 in 2020). First flight Feb 2012, final flight Sept 2024 (Sentinel-2C), fully superseded by Vega-C."
Vega-C,Vega,Italy,active,false,2022-07-13,7,430000000.0,2015,"ESA's EUR395 million development contract with ELV (Avio/ASI joint venture), signed 2015, covering development through an inaugural flight; converted at ~1.09 USD/EUR (2015 average). Program officials later reported the program actually cost ~$300 million to reach first launch, described as coming in under the originally budgeted amount -- a real discrepancy between contracted/budgeted value and reported actual spend, both flagged.",https://www.satellitetoday.com/finance/2015/08/12/esa-signs-contracts-for-ariane-6-vega-c-launchers/,430000000.0,2022,EUR395M development contract was scoped to cover development through the July 2022 inaugural flight.,https://www.satellitetoday.com/finance/2015/08/12/esa-signs-contracts-for-ariane-6-vega-c-launchers/,,,,54000000.0,2024.0,https://europeanspaceflight.com/esa-paid-e51-65-million-to-launch-sentinel-1c-on-vega-c-return-to-flight/,,,,2300.0,"2,300 kg to 700 km SSO (reference mission) / 2,250 kg to 500 km polar orbit. Vega-C flies polar/SSO small- and medium-sat missions, not equatorial LEO.",23500.0,"REAL disclosed ESA contract (Sentinel-1C, Dec 2024 return-to-flight) / rated SSO capacity -- the actual satellite flown (~2,284 kg) was close to full rated capacity, making this an unusually clean real-world data point",https://europeanspaceflight.com/esa-paid-e51-65-million-to-launch-sentinel-1c-on-vega-c-return-to-flight/,"REAL, FLIGHT-PROVEN DATA. ESA's initial contract for the Sentinel-1C launch on Vega-C was EUR48.62 million (awarded Apr 2022), rising to a final EUR51.65 million including additional launch-service charges, for the Dec 2024 return-to-flight mission (~$54M at ~1.05 USD/EUR). European Spaceflight also references at least two other Vega-C commercial contracts (unnamed customers) valued at 'over EUR100 million,' but per-launch attribution was unclear so excluded. Vega-C suffered a launch failure on VV22 (Dec 2022, Zefiro-40 nozzle erosion, lost two Pleiades Neo satellites), grounding the vehicle for two years before returning to flight Dec 2024. ESA transferred direct commercialization from Arianespace to Avio in Aug 2024. 7 flights total (6 successes, 1 failure) through May 2026."
Vulcan Centaur,Vulcan,USA,active (paused for NSSL pending SRB investigation),false,2024-01-08,4,,,"No single authoritative total program cost has ever been disclosed by ULA/Boeing/Lockheed. Public data points instead: CEO Tory Bruno's order-of-magnitude public statement that 'new rockets typically cost $2 billion, including $1 billion for the main engine' (BE-4), plus ULA's separate statement that it invested 'over $1 billion' in factory/pad infrastructure -- these are real quotes but not an audited total, so left blank rather than assembled into a fabricated precise figure.",,967000000.0,2018,"REAL, disclosed USAF Other Transaction Agreement (Launch Service Agreement) awarded to United Launch Services in Oct 2018, providing up to $967M in cost-shared government development funding for the Vulcan Centaur prototype launch system through 2024 (ULA also contributed private capital alongside; Bruno stated Vulcan was '75% privately funded' as of March 2018, implying the true total was materially higher than this government share alone).",https://www.war.gov/News/Contracts/Contract/Article/1658771/,,,,168500000.0,2020.0,https://spaceflightnow.com/2020/08/07/ula-spacex-win-landmark-launch-agreements-with-pentagon/,,,,27200.0,"VC6 configuration (6 GEM-63XL solid boosters), 200 km/28.7 deg reference orbit, per ULA official spec sheet. VC0 (no boosters) delivers 10,800 kg.",6195.0,REAL contract-derived price / VC6 rated LEO capacity,https://www.ulalaunch.com/rockets/vulcan-centaur,"REAL, FLIGHT-PROVEN DATA (opex); capex_program genuinely undisclosed. opex_price of $168.5M is derived from a REAL, disclosed $337M FY2022 NSSL Phase 2 task order covering 2 missions (USSF-51 + USSF-106), announced Aug 2020 -- a blended Atlas V/Vulcan-era task order (USSF-51 ultimately flew on Atlas V; USSF-106 became Vulcan's first NSSL flight, Aug 2025), so treat as a real contract-derived proxy rather than a confirmed single-mission Vulcan-only price. NSSL Phase 3 Lane 2 (Apr 2025) separately gave ULA a ~$5.3B ceiling IDIQ for 19 missions (~$279M/mission average, but a ceiling, not a firm per-mission price). Bruno has publicly targeted future commercial Vulcan pricing 'as low as $100 million.' Launches paused for NSSL missions since a Feb 12 2026 USSF-87 SRB nozzle anomaly (the second such SRB issue after Cert-2 in Oct 2024); status as of this research (July 2026) is paused pending investigation."
Electron,Electron,USA,active,partial,2017-05-25,91,100000000.0,2020,"REAL, on-the-record statement by Rocket Lab founder/CEO Peter Beck (Oct 2020): 'It took us $100m to get to orbit and I believe that was too much!' Widely cited secondary compilation (Payload Research) lists this as $100M nominal / $123M inflation-adjusted. No more precise SEC-filed figure exists because Rocket Lab did not go public (NASDAQ: RKLB) until 2021, after Electron was already operational, so pre-IPO development capex was never itemized in a 10-K.",https://payloadspace.com/rocket-development-costs-by-vehicle-payload-research/,100000000.0,2017,"Same Peter Beck 'less than $100M on development' statement, referring to spend through the vehicle's path to first orbital flight (May 2017); Beck separately cited $180M as TOTAL spend as of Oct 2020 (including 3 launch pads, production facilities, 2 mission controls, and 14 flights by then) -- that $180M covers post-first-flight scale-up, not just development-to-first-launch, so not used here.",https://paulgennett.substack.com/p/was-rocket-labs-electron-worth-it,5675000.0,2025.0,https://www.sec.gov/Archives/edgar/data/0001819994/000162828025023857/rklb-20250331.htm,8500000.0,2026.0,https://www.investing.com/news/transcripts/earnings-call-transcript-rocket-lab-q1-2026-sees-record-revenue-growth-93CH-4670980,,,,300.0,"Standard payload to LEO as of the Aug 2020 performance upgrade (up from an original 225 kg at debut); ~200 kg to SSO. Booster recovery (helicopter mid-air catch / ocean splashdown, for Rutherford engine reuse) does not meaningfully reduce quoted payload.",18917.0,REAL SEC-disclosed marginal cost (Q1 2025 10-Q) / rated LEO capacity,https://www.sec.gov/Archives/edgar/data/0001819994/000162828025023857/rklb-20250331.htm,"THE STRONGEST REAL-DATA POINT IN THE NEW-SPACE COHORT: opex_marginal_usd of $5.675M is a REAL SEC-disclosed figure -- Rocket Lab's Form 10-Q for Q1 2025 breaks out the Launch Services segment as $35.592M revenue / $28.375M cost of revenue / $7.217M gross profit across 5 confirmed Electron missions that quarter, giving average revenue/launch of $7.12M and average MARGINAL COST/launch of $5.68M -- an actual disclosed operating-cost data point, not an estimate. opex_price reflects Rocket Lab's own Q1 2026 earnings-call disclosure that new commercial Electron missions in backlog are priced ~$8.5M, up from $5-6M at 2018 market entry and $7.5M for years prior to 2023 (Q3 2024 new-contract ASP was $8.4M, a 67% increase since debut, per investor materials). num_flights=91 orbital launches (87 success/4 failure, ~95.6%) plus 9 separate suborbital HASTE missions (not counted), as of late June 2026. Most-flown new-space small launcher in history; publicly traded (NASDAQ: RKLB)."
Long March 3B,Long March,China,active (3B/E variant; original 3B retired),false,1996-02-14,116,,,"No official CASC/Chinese state figure for CZ-3B development cost has ever been disclosed; genuine data gap after searching Cox Report chapters, CRS reports, and Chinese state media.",,,,Same gap as total program cost.,,,,,70000000.0,2013.0,https://spacenews.com/37366china-great-wall-reaffirms-commitment-to-70-million-long-march-launches/,,,,11500.0,"CZ-3B is almost never flown to LEO commercially; its real market is GTO (5,100-5,500 kg for the 3B/E variant). $/kg below uses the LEO rated capacity per this dataset's standard convention, but commercial pricing actually applies to GTO missions (effective ~$12,700-13,700/kg-to-GTO at the $70M price point).",6087.0,REAL standing CGWIC commercial rate (2013) / LEO rated capacity (see payload note re: GTO caveat),https://en.wikipedia.org/wiki/Long_March_3B,"THE BEST-DOCUMENTED HISTORICAL COMMERCIAL-PRICING CASE IN THE DATASET. Real 1990s prices, tied to actual US-China trade disputes: $25M offered for Arabsat (1990, triggered Arianespace/US government pushback over 'dumping', per CRS report 98-575); ~$30M for AsiaSat 1 (1990, first Chinese commercial launch for a foreign customer); $56M for Intelsat 708 (1992 contract; the Feb 1996 launch failure destroyed the satellite and killed people on the ground at Xichang). A 1995 US-China bilateral agreement required Chinese prices to stay within 15% of Western prices or trigger a US pricing review; in 1997 USTR found China had violated this on the Agila-2/Loral launch for the Philippines. CGWIC's standing commercial rate was reaffirmed at $70M in 2012-2013 (explicitly backed by a '96% success record over 181 flights' -- a genuine disclosed rate card, used here) and reportedly cut to $50M by 2019 amid SpaceX price competition. ~116 flights, ~96.5% success rate, including a Jan 2026 Shijian-32 failure."
Long March 5,Long March,China,active,false,2016-11-03,18,,,"No disclosed CASC/state development budget for CZ-5 itself. Only adjacent, non-equivalent figures found: Wenchang launch site infrastructure (~RMB 5bn / $810M) and a CZ-5 production facility (~RMB 4.5bn / $650M) -- these are launch-site/manufacturing capex, not vehicle R&D cost, so not used.",,,,Same gap as total program cost.,,,,,160000000.0,2023.0,https://en.wikipedia.org/wiki/Long_March_5,,,,25000.0,"25,000 kg to LEO is the CZ-5B (core-stage-only) variant, used for space-station module launches; standard CZ-5 carries 14,000 kg to GTO. CZ-5 is primarily a government/state-mission vehicle (space station, lunar sample return, Mars) and is not actively marketed with a disclosed commercial contract price the way 3B/2D are.",6400.0,"ESTIMATE (analyst figure, NOT a confirmed real contract price -- see notes) / CZ-5B LEO capacity",https://en.wikipedia.org/wiki/Long_March_5,"UNLIKE CZ-3B/2D, this price is NOT a confirmed real contract: the ~$160M figure is a secondary/analyst estimate (Wikipedia infobox), since CZ-5 has no disclosed CASC/CGWIC commercial contract (it's overwhelmingly a state-mission vehicle). A Sept 2022 CASC report in Aerospace China magazine rated CZ-5/5B in the top cost-competitiveness tier alongside Falcon 9 for their orbit classes but gave no absolute dollar figure. 94.4% success rate over 18 flights (17/18), including the 2017 CZ-5 Y2 core-stage failure that caused a 28-month launch hiatus."
Long March 2D,Long March,China,active,false,1992-08-09,105,,,No official CASC/Chinese state development-cost figure disclosed; genuine gap despite search.,,,,Same gap as total program cost.,,,,,15760000.0,2022.0,https://www.china-in-space.com/p/what-is-the-cost-of-a-long-march,,,,3500.0,"3,500 kg to LEO, 1,300 kg to SSO.",4503.0,REAL repeat-customer commercial price / rated LEO capacity,https://en.wikipedia.org/wiki/Long_March_2D,"REAL, FLIGHT-PROVEN DATA. China's most-flown active workhorse (100th mission passed in 2025), ~99% success rate over 105 flights. Real, disclosed modern commercial pricing exists via repeat domestic-commercial customer Changguang Satellite Technology (Jilin-1 constellation): 112.9-113 million yuan (~$15.7-16M) per mission reported for 2022-era contracts -- this is a genuine repeat-customer procurement price. A separate, higher nominal commercial price of $30M/launch is also cited (Wikipedia infobox), likely reflecting standard non-bulk-discount pricing rather than Changguang's negotiated rate."
Kuaizhou-1A,Kuaizhou,China,active,false,2017-01-09,16,,,No disclosed CASIC/ExPace development budget for KZ-1A found despite search.,,,,Same gap as total program cost.,,,,,5800000.0,2021.0,https://rocketlaunch.org/launch-providers/expace/kuaizhou-1a,,,,300.0,"Payload varies by source/orbit: 200 kg to 700km SSO, 250 kg to 500km SSO, up to 300-400 kg to lower LEO. Using the commonly-cited 300 kg LEO figure.",19333.0,REAL commercial per-launch price / commonly-cited LEO capacity,https://www.space.com/34840-chinese-expace-commercial-launch-company.html,"REAL, FLIGHT-PROVEN DATA. Quasi-commercial CASIC/ExPace solid rocket with genuinely operator-disclosed pricing: ExPace publicly advertised $10,000-$20,000/kg (stated goal of reaching $5,000/kg) starting ~2016; individual missions are commonly listed at $5.8M per complete launch service, consistent with the operator's own per-kg claim at ~300kg payload. 16 dedicated KZ-1A flights through Dec 2024 (14 successes, 2 failures: Sept 2020, Dec 2021; ~87.5% success). An upgraded KZ-1A-Pro variant debuted Dec 2024 and flew several more missions through 2025 (4 Kuaizhou-series missions in 2025: 3 successes, 1 failure) -- combined family total by mid-2026 is approximately 20+ flights, but num_flights here reflects the baseline KZ-1A variant specifically (16) since a fully reconciled combined figure wasn't available from one authoritative source."
